subject,module,chapter,material_title,share_url,share_code,note
申论,申论,时评分享,第二周时评（2）,https://pan.quark.cn/s/40f6f60fd14d,,来源：申论/时评分享
申论,申论,时评分享,第三周时评（1）,https://pan.quark.cn/s/224ed9692216,,来源：申论/时评分享
申论,申论,时评分享,第三周时评（2）,https://pan.quark.cn/s/2ec613835098,,来源：申论/时评分享
申论,申论,时评分享,第四周时评（2）,https://pan.quark.cn/s/971a70007fbc,,来源：申论/时评分享
申论,申论,时评分享,第五周时评（2）,https://pan.quark.cn/s/c8c8fa452103,,来源：申论/时评分享
申论,申论,时评分享,第一周时评（1）,https://pan.quark.cn/s/34e430851087,,来源：申论/时评分享
申论,申论,时评分享,第一周时评（2）,https://pan.quark.cn/s/8450b4bb5b11,,来源：申论/时评分享
申论,申论,答案,申论理论第八节答案（格子纸版本）,https://pan.quark.cn/s/6aba2de48e40,,来源：申论/答案
申论,申论,答案,申论理论第二节答案（格子纸版本）,https://pan.quark.cn/s/b900b0347ac9,,来源：申论/答案
申论,申论,答案,申论理论第九节答案（格子纸版本）,https://pan.quark.cn/s/27eb4626c17f,,来源：申论/答案
申论,申论,答案,申论理论第六节答案（格子纸版本）,https://pan.quark.cn/s/c7dde47cfd3b,,来源：申论/答案
申论,申论,答案,申论理论第七节答案（格子纸版本）,https://pan.quark.cn/s/060d1595002f,,来源：申论/答案
申论,申论,答案,申论理论第十节答案（格子纸版本）,https://pan.quark.cn/s/97c3bbccc680,,来源：申论/答案
申论,申论,答案,申论理论第三节答案（格子纸版本）,https://pan.quark.cn/s/8247b0e44368,,来源：申论/答案
申论,申论,答案,申论理论第四节答案（格子纸版本）,https://pan.quark.cn/s/cb2c090ce49f,,来源：申论/答案
申论,申论,答案,申论理论第五节答案（格子纸版本）,https://pan.quark.cn/s/0cc37636fb55,,来源：申论/答案
申论,申论,答案,申论理论第一节答案（格子纸版本）,https://pan.quark.cn/s/e568913f6455,,来源：申论/答案
申论,申论,课件,申论理论第八节,https://pan.quark.cn/s/feba681beea9,,来源：申论/课件
申论,申论,课件,申论理论第二节,https://pan.quark.cn/s/10ec93214b3a,,来源：申论/课件
申论,申论,课件,申论理论第六节,https://pan.quark.cn/s/28ed685c4f04,,来源：申论/课件
申论,申论,课件,申论理论第七节,https://pan.quark.cn/s/ea7044d92c90,,来源：申论/课件
申论,申论,课件,申论理论第三节,https://pan.quark.cn/s/3f2e7264d22d,,来源：申论/课件
申论,申论,课件,申论理论第四节,https://pan.quark.cn/s/b5a200627a04,,来源：申论/课件
申论,申论,课件,申论理论第五节,https://pan.quark.cn/s/6175be7ef479,,来源：申论/课件
申论,申论,课件,申论理论第一节,https://pan.quark.cn/s/9160eb5b66ed,,来源：申论/课件
申论,申论,随堂笔记,20250711申论理论第一讲课堂笔记,https://pan.quark.cn/s/bb31de7a1bda,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250712申论第二讲课堂笔记,https://pan.quark.cn/s/2b8474aedc99,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250718申论第三讲课堂笔记,https://pan.quark.cn/s/5136dd6ea885,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250720申论理论第四讲课堂笔记,https://pan.quark.cn/s/1ee3fbb600a7,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250725申论理论第五讲课堂笔记,https://pan.quark.cn/s/32a40d398ac1,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250726申论第六讲课堂笔记,https://pan.quark.cn/s/accefc4df7b2,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250801申论第七讲课堂笔记,https://pan.quark.cn/s/71dae447196e,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250802申论理论第八讲课堂笔记,https://pan.quark.cn/s/bb15143d674e,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250808申论理论第九讲课堂笔记,https://pan.quark.cn/s/eae908137b71,,来源：申论/随堂笔记
申论,申论,随堂笔记,20250809申论第十讲课堂笔记,https://pan.quark.cn/s/3f1545e81bb7,,来源：申论/随堂笔记
行测,言语理解,随堂笔记,【四海】25下半年-言语-片段阅读第二讲随堂笔记,https://pan.quark.cn/s/a2727c8e3028,,来源：言语理解/随堂笔记
行测,言语理解,随堂笔记,【四海】25下半年-言语-片段阅读第四讲随堂笔记,https://pan.quark.cn/s/a31eebad1c7f,,来源：言语理解/随堂笔记
行测,言语理解,随堂笔记,【四海】25下半年-言语-片段阅读第三讲随堂笔记,https://pan.quark.cn/s/7f7e0eba888a,,来源：言语理解/随堂笔记
行测,言语理解,随堂笔记,【四海】25下半年-言语-片段阅读第五讲随堂笔记,https://pan.quark.cn/s/515407ab9eef,,来源：言语理解/随堂笔记
行测,言语理解,随堂笔记,【四海】25下半年-言语-片段阅读第一讲随堂笔记,https://pan.quark.cn/s/65718ffe6a2e,,来源：言语理解/随堂笔记
行测,资料分析,资料刷题讲义,【资料刷题】四海资料600题（题本篇1-6套）,https://pan.quark.cn/s/cd66da94eddb,,来源：资料分析/资料刷题讲义
行测,资料分析,赠送资料,分小互换1.jpg,https://pan.quark.cn/s/00738e77005d,,来源：资料分析/赠送资料
行测,资料分析,赠送资料,分小互换2.jpg,https://pan.quark.cn/s/05474f0f895a,,来源：资料分析/赠送资料
行测,资料分析,赠送资料,分小互换3.jpg,https://pan.quark.cn/s/2976248b09c0,,来源：资料分析/赠送资料
行测,资料分析,赠送资料,分小互换4.jpg,https://pan.quark.cn/s/22ba1b60158b,,来源：资料分析/赠送资料
行测,资料分析,赠送资料,数字倍数.jpg,https://pan.quark.cn/s/0e728115dd0c,,来源：资料分析/赠送资料
行测,资料分析,赠送资料,【思维导图】ABRX特殊技巧,https://pan.quark.cn/s/e8b974daab3a,,来源：资料分析/赠送资料
行测,资料分析,赠送资料,【思维导图】四则运算,https://pan.quark.cn/s/6f3947c98ec1,,来源：资料分析/赠送资料
行测,资料分析,随堂笔记,7月19日加课-增长率为负的假设分配法-随堂笔记,https://pan.quark.cn/s/95c7c11240aa,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第八讲随堂笔记,https://pan.quark.cn/s/980d19b640c2,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第二讲随堂笔记,https://pan.quark.cn/s/ee2362ae1b37,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第九讲随堂笔记,https://pan.quark.cn/s/78cf16a85aba,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第六讲随堂笔记,https://pan.quark.cn/s/7e7b990548ba,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第七讲随堂笔记,https://pan.quark.cn/s/bb62ddece2e1,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第十讲随堂笔记,https://pan.quark.cn/s/40d282eae632,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第四讲随堂笔记,https://pan.quark.cn/s/ed0bb504b87c,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第三讲随堂笔记,https://pan.quark.cn/s/5fbfdd1748b7,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第五讲随堂笔记,https://pan.quark.cn/s/4179a5fd7058,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析第一讲随堂笔记,https://pan.quark.cn/s/464e4210a5d1,,来源：资料分析/随堂笔记
行测,资料分析,随堂笔记,【四海】25下半年-资料分析总结随堂笔记,https://pan.quark.cn/s/a3d34d49ccff,,来源：资料分析/随堂笔记
行测,判断推理,26逻辑判断总结13页纸,花生十三丨26逻辑判断总结13页纸,https://pan.quark.cn/s/3b0009eb8793,,来源：逻辑推理/26逻辑判断总结13页纸
行测,判断推理,判断下册图推定义类比刷题答案,【很多同学的选择】5分打印店 首单免费 包邮,https://pan.quark.cn/s/05e73b469407,,来源：逻辑推理/判断下册图推定义类比刷题答案
行测,判断推理,判断下册图推定义类比刷题答案,【四海】定义判断刷题 第1刷答案,https://pan.quark.cn/s/ccdef63391c9,,来源：逻辑推理/判断下册图推定义类比刷题答案
行测,判断推理,判断下册图推定义类比刷题答案,【四海】定义判断刷题 第2刷答案,https://pan.quark.cn/s/3c2480868775,,来源：逻辑推理/判断下册图推定义类比刷题答案
行测,判断推理,判断下册图推定义类比刷题答案,【四海】类比推理刷题 第1刷答案,https://pan.quark.cn/s/e829c00157dc,,来源：逻辑推理/判断下册图推定义类比刷题答案
行测,判断推理,判断下册图推定义类比刷题答案,【四海】类比推理刷题 第2刷答案,https://pan.quark.cn/s/3a4ba3d2c104,,来源：逻辑推理/判断下册图推定义类比刷题答案
行测,判断推理,判断下册图推定义类比刷题答案,【四海】图形推理刷题 第1刷答案,https://pan.quark.cn/s/8939258fb70f,,来源：逻辑推理/判断下册图推定义类比刷题答案
行测,判断推理,判断下册图推定义类比刷题答案,【四海】图形推理刷题 第2刷答案,https://pan.quark.cn/s/bb919c3a0546,,来源：逻辑推理/判断下册图推定义类比刷题答案
行测,判断推理,随堂笔记,【四海】25下半年-判断推理总结随堂笔记,https://pan.quark.cn/s/2977bf202a87,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-类比第一讲随堂笔记,https://pan.quark.cn/s/c8cd3f312e06,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-类比第二讲随堂笔记,https://pan.quark.cn/s/f37f174b730c,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第一讲随堂笔记,https://pan.quark.cn/s/1793a8726a40,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,0814判断总结课,https://pan.quark.cn/s/44076538f096,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-定义判断随堂笔记,https://pan.quark.cn/s/383a19bbdc30,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-类比第三讲随堂笔记,https://pan.quark.cn/s/d546db7e4134,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-图推第二讲随堂笔记,https://pan.quark.cn/s/7758c4c42efb,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-图推第四讲随堂笔记,https://pan.quark.cn/s/23def5e348b9,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-图推第三讲随堂笔记,https://pan.quark.cn/s/c05a1670ebe2,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-图推第五讲随堂笔记,https://pan.quark.cn/s/ca8fabffd5ae,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-图推第一讲随堂笔记,https://pan.quark.cn/s/4303dff8da6a,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理-图推定义类比总结课随堂笔记,https://pan.quark.cn/s/e16a7753467d,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第八讲随堂笔记,https://pan.quark.cn/s/7d1be1804f4f,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第二讲随堂笔记,https://pan.quark.cn/s/67551f217b27,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第六讲随堂笔记,https://pan.quark.cn/s/e99db9b9daa3,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第七讲随堂笔记,https://pan.quark.cn/s/2114f658e73a,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第四讲随堂笔记,https://pan.quark.cn/s/feda19640a86,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第三讲随堂笔记,https://pan.quark.cn/s/747127105e86,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理第五讲随堂笔记,https://pan.quark.cn/s/ee1426431f21,,来源：逻辑推理/随堂笔记
行测,判断推理,随堂笔记,【四海】25下半年-判断推理总结（加课）随堂笔记,https://pan.quark.cn/s/702977ca6145,,来源：逻辑推理/随堂笔记
